n_estimators,max_depth,min_samples_split,rmse,mae,mape
100,,2,136.87292616946982,101.2850227272729,0.05802464083649699
100,,5,135.69925501099675,100.99727205088995,0.05787494104753286
100,,10,132.4222092365963,100.29549484460327,0.05743091128311193
100,10.0,2,135.97025691844703,100.50753499053732,0.05759895704630536
100,10.0,5,135.2281828158923,100.52392161229324,0.057613290393616616
100,10.0,10,132.13123317616942,100.03318178715764,0.05728424312048288
100,20.0,2,136.8207972434467,101.28302479338863,0.05802377302593088
100,20.0,5,135.69925501099675,100.99727205088995,0.05787494104753286
100,20.0,10,132.4222092365963,100.29549484460327,0.05743091128311193
200,,2,136.5982302916777,101.03579380165283,0.057893776711588976
200,,5,135.40712856876212,100.6586901245878,0.05769190463181815
200,,10,131.9971469806155,99.77311150864243,0.05714789343255575
200,10.0,2,135.4292707781788,99.91811083132963,0.05727465489503059
200,10.0,5,134.7394462354958,100.02001602424568,0.057338484262015765
200,10.0,10,131.66832204870164,99.44966126488491,0.0569677193545473
200,20.0,2,136.56098578920944,101.04502169421481,0.05789863741353757
200,20.0,5,135.40712856876212,100.6586901245878,0.05769190463181815
200,20.0,10,131.9971469806155,99.77311150864243,0.05714789343255575
300,,2,136.66103135366882,101.07477920110149,0.05791425664660945
300,,5,135.56270412124778,100.70678745523416,0.057718686464473035
300,,10,132.0980771265948,99.82536730278258,0.05717063468160334
300,10.0,2,135.61487640871005,100.03705454500013,0.05734065536723308
300,10.0,5,134.8966741712702,100.11304896141328,0.05739045484927177
300,10.0,10,131.84137942391396,99.5701769446579,0.05702831511238955
300,20.0,2,136.63175371164934,101.07983209366346,0.05791727929103314
300,20.0,5,135.56270412124778,100.70678745523416,0.057718686464473035
300,20.0,10,132.0980771265948,99.82536730278258,0.05717063468160334
